Linje;Vei
L1;Spikkestad - Asker - Oslo S - Lillestrøm
L2;Stabekk - Skøyen - Oslo S - Ski
L3;Gjøvikbanen: Oslo S - Nittedal - Jaren / Gjøvik
L12;Kongsberg - Drammen - Olso S - OSL - Eidsvoll
L13;Drammen - Oslo S - Jessheim - Dal
L14;Asker - Oslo S - Kongsvinger
L21;Stabekk - Oslo S - Moss
L22;Skøyen - Oslo S - Mysen - Rakkestad
R10;Lillehammer - Oslo S - (Drammen)
R11;Eidsvoll - Oslo S - Skien
R20;Oslo S - Halden - Gøteborg
R30;Gjøvikbanen: Oslo S - Nittedal - Jaren / Gjøvik
41;Bergensbanen: Oslo S - Bergen
42;Flåmsbana:Flåm - Myrdal
43;Bergen - Arna
45;Vossabanen: Bergen - Voss - Myrdal
52;Bratsbergbanen: Notodden - Porsgrunn
704;Moss - Ski - Oslo S - Stabekk
708;Eidsvoll - Oslo S - Asker - Drammen
