Linie;Laufweg und Betreiber
RE1;Göttingen – Erfurt – Gera – Glauchau (DB)
RE2;Erfurt – Bad Langensalza – Leinefelde – Kassel-Wilhelmshöhe (DB)
RE3;Erfurt – Jena – Gera – Altenburg/Greiz (DB)
RE7;Erfurt – Grimmenthal – Würzburg (DB)
RE14;Saalfeld (Saale) – Bamberg – Nürnberg (DB)
RE18;Jena Göschwitz – Naumburg – Halle (DB)
RE19;Sonneberg – Coburg – Bamberg – Nürnberg (DB)
RE42;Leipzig – Jena – Saalfeld (Saale) – Nürnberg (DB)
RE49;Sonneberg – Coburg – Lichtenfels – Nürnberg (DB)
RE55;Nordhausen – Erfurt (DB)
RE56;Nordhausen – Erfurt (DB)
RB37;Gößnitz – Glauchau (DB)
RB52;Erfurt – Leinefelde (DB)
RB53;Gotha – Bad Langensalza (DB)
RB80;Nordhausen – Göttingen (DB)
S5X;Halle – Leipzig/Halle Flughafen – Leipzig – Altenburg – Zwickau (DB)
S5;Halle – Leipzig – Altenburg – Zwickau (DB)
RE8;Leinefelde – Sangerhausen – Halle (ABRM)
RE9;Kassel – Nordhausen – Sangerhausen – Halle (ABRM)
RE10;Erfurt – Sangerhausen – Magdeburg (ABRM)
RE15;Saalfeld – Jena Saalbf (ABRM)
RE16;Erfurt – Naumburg – Halle (ABRM)
RE17;Erfurt – Naumburg (ABRM)
RB20;Eisenach – Erfurt – Naumburg – Leipzig (ABRM)
RB25;Saalfeld – Jena – Naumburg – Halle (ABRM)
RB51;Heilbad Heiligenstadt – Leinefelde – Nordhausen (ABRM)
RB59;Erfurt – Sangerhausen (ABRM)
RB75;Nordhausen – Sangerhausen – Halle (ABRM)
EBx12;Leipzig – Gera – Saalfeld (Saale) (EIB)
EBx13;Gera – Zeulenroda unt Bf – Hof (EIB)
EB21;Erfurt – Weimar – Jena – Gera (EIB)
EB22;Leipzig – Gera – Saalfeld (Saale) (EIB)
EB23;Erfurt – Arnstadt – Saalfeld (Saale) (EIB)
EB26;Weimar – Kranichfeld (EIB)
EB27;Sömmerda – Buttstädt (EIB)
EB28;Jena Saalbf – Pößneck unt Bf (EIB)
EB32;Saalfeld (Saale) – Blankenstein (Saale) (EIB)
EB40;Meiningen – Schweinfurt (EIB)
STx45;Erfurt – Ilmenau (STB)
STx50;Erfurt – Zella-Mehlis – Meiningen (STB)
STB41;Eisenach – Meiningen – Eisfeld – Sonneberg – Neuhaus a Rennweg (STB)
STB43;Wernshausen – Schmalkalden – Zella-Mehlis – Suhl (STB)
STB44;Erfurt – Meiningen (STB)
STB46;Erfurt – Ilmenau– Rennsteig (STB)
STB48;Fröttstädt – Friedrichroda (STB)
OBS;Rottenbach – Katzhütte, Obstfelderschmiede – Lichtenhain (Bergbahn), Lichtenhain (Bergbahn) – Cursdorf (OBS)
HSB;Nordhausen – Ilfeld – Drei Annen Hohne (HSB)
RB4;Gera – Greiz – Weischlitz (VBG)
RB6;Eisenach – Bebra (CAN)
