Linie;Start;über 1;über 2;über 3;Ziel;Laufweg
1;Aschaffenburg ROB;Obernau;;;Sulzbach;Aschaffenburg ROB - Obernau - Sulzbach
2;Aschaffenburg ROB;Dämmer Tor;;;Strietwald;Aschaffenburg ROB - Dämmer Tor - Strietwald
3;Aschaffenburg ROB;Leider;Waldfriedhof;;Stockstadt;Aschaffenburg ROB - Leider - Waldfriedhof - Stockstadt
4;Aschaffenburg ROB;;;;Schweinheim;Aschaffenburg ROB - Schweinheim
5;Aschaffenburg ROB;Gailbach;;;Dörrmorsbach;Aschaffenburg ROB - Gailbach - Dörrmorsbach
6;Aschaffenburg ROB;;;;Nilkheim;Aschaffenburg ROB - Nilkheim
7;Aschaffenburg ROB;Goldbach;Kugeldberg;;Unterafferbach;Aschaffenburg ROB - Goldbach - Kugeldberg - Unterafferbach
8;Aschaffenburg ROB;;;;Damm;Aschaffenburg ROB - Damm
9;Aschaffenburg ROB;;;;Glattbach;Aschaffenburg ROB - Glattbach
10;Aschaffenburg ROB;Schweinheim Blütenstraße;;;Schweinheim;Aschaffenburg ROB - Schweinheim Blütenstraße - Schweinheim
11;Aschaffenburg ROB;Dämmer Tor;;;Strietwald IHK;Aschaffenburg ROB - Dämmer Tor - Strietwald IHK
12;Aschaffenburg ROB;;;;Klinikum;Aschaffenburg ROB - Klinikum
14;Aschaffenburg ROB;;;;Mainaschaff;Aschaffenburg ROB - Mainaschaff
15;Aschaffenburg ROB;Bessenbacher Weg;;;Schweinheim;Aschaffenburg ROB - Bessenbacher Weg - Schweinheim
16;Aschaffenburg ROB;Klinikum;Haibach;Grünmorsbach;Dörrmorsbach;Aschaffenburg ROB - Klinikum - Haibach - Grünmorsbach - Dörrmorsbach
