Tabellennummer;Liniennummer;Laufweg
136;RB 65 (neg);Niebüll - Dagebüll Mole
136 1,136¹;RB 66 (neg);Niebüll - Tønder (DK)
137;A 1 (AKN);Neumünster - Kaltenkrchen - Hamburg-Eidelstedt
138;A 2 (AKN);Ulzburg Süd - Norderstedt Mitte
139;A 3 (AKN);Elmshorn - Barmstedt - Ulzburg Süd
173;RB 16;Neustrelitz - Mirow
174;RB 19;Parchim - Karow (Meckl) - Plau am See
204;RE 4;Stendal - Berlin
209 46,209⁴⁶;RB 46;Cottbus - Forst (Lausitz)
209 51,209⁵¹;RB 51;Rathenow - Brandenburg
209 54,209⁵⁴;RB 54;Löwenberg (Mark) - Rheinsberg (Mark)
209 63,209⁶³;RB 63;Eberswalde - Joachimsthal - Templin Stadt
209 73,209⁷³;RB 73;Neustadt (Dosse) - Pritzwalk
209 74,209⁷⁴;RB 74;Pritzwalk - Meyenburg
220;RB 65;Cottbus - Görlitz - Zittau
229;RB 64;Görlitz - Hoyerswerda
236;L 7;Seifhennersdorf - Zittau
238;SOEG;Zittau - Kurort Oybin/Kurort Jonsdorf
269;RB 33;Stendal - Tangermünde
396;;Emden - Emden Außenhafen
479;RB 37;Boppard - Emmelshausen
514;RB 83 (FEG);Freiberg (Sachs) - Holzhau
691;RB 85;Bullay - Traben-Trarbach
