Abk;Beschreibung;Nummer
BBT;Brenner Basistunnel;
GBT;Gotthard Basistunnel;
KRM;SFS Köln-Rhein/Main;$2690
LBT;Lötschberg Basistunnel;
NBS;Neubaustrecke;
SFS;Schnellfahrstrecke;
VDE;Verkehrsprojekte Deutsche Einheit;
VDE1;Lübeck/Hagenow Land-Rostock-Stralsund;
VDE2;Berlin-Hamburg;$6100
VDE3;Stendal-Uelzen;$6899
VDE4;SFS Hannover-Berlin;$6107
VDE5;Helmstedt-Magdeburg-Berlin;$6400
VDE6;Halle-Hann. Münden;
VDE7;Bebra-Erfurt;
VDE8;Berlin-Nürnberg;
VDE8¹,VDE8 1;Nürnberg-Erfurt;
VDE8²,VDE8 2;Erfurt-Leipzig/Halle;
VDE8³,VDE8 3;Leipzig/Halle-Berlin;
VDE9;Leipzig-Dresden;
